"country","LinkedInUsers_Total_2024","LinkedInUsersInThousands2023"
"India",135400000,99000
"China",,60000
"United States",236000000,200000
"Indonesia",27950000,23000
"Pakistan",13440000,9300
"Nigeria",10310000,7500
"Brazil",71100000,59000
"Bangladesh",8865000,5900
"Ethiopia",1179900,870
"Mexico",22780000,19000
"Japan",4500000,3400
"Egypt",11430000,7900
"Philippines",17680000,13000
"DR Congo",695100,490
"Vietnam",8297000,5200
"Turkey",16380000,13000
"Germany",4420000,15000
"Thailand",5464000,4100
"United Kingdom",42700000,35000
"Tanzania",1362000,1100
"France",8600000,26000
"South Africa",13910000,11000
"Italy",4000000,17000
"Kenya",4925000,3500
"Myanmar",978900,770
"Colombia",14770000,12000
"South Korea",4338000,3500
"Uganda",1438800,1000
"Spain",3550000,17000
"Algeria",4415000,3200
"Iraq",2119000,1700
"Argentina",14260000,11000
"Afghanistan",541700,450
"Yemen",552500,380
"Canada",26000000,21000
"Poland",1696000,5500
"Morocco",5321000,4100
"Angola",1009600,690
"Ukraine",5444000,4300
"Uzbekistan",721200,460
"Malaysia",8500000,7000
"Mozambique",673900,490
"Ghana",2840000,2100
"Peru",10040000,7700
"Saudi Arabia",9930000,7300
"Madagascar",436600,310
"Ivory Coast",1435000,1100
"Nepal",1713000,1200
"Cameroon",1242000,960
"Venezuela",5220000,4400
"Niger",146000,110
"Australia",15950000,14000
"Mali",372500,300
"Burkina Faso",387000,290
"Taiwan",3576000,3000
"Sri Lanka",2348000,1800
"Malawi",319000,230
"Zambia",889700,640
"Kazakhstan",1561000,1200
"Chad",106100,74
"Chile",8680000,6900
"Romania",745000,3600
"Somalia",326600,240
"Senegal",1176000,930
"Guatemala",1640000,1300
"Netherlands",2870000,10000
"Ecuador",4856000,3700
"Cambodia",705200,530
"Zimbabwe",953000,760
"Guinea",261100,210
"Benin",507000,400
"Rwanda",403100,290
"Burundi",92200,69
"Bolivia",1696000,1300
"Tunisia",2213000,1700
"South Sudan",91370,60
"Haiti",338200,270
"Belgium",1280000,4700
"Jordan",1800000,1400
"Dominican Republic",1925000,1500
"United Arab Emirates",8660000,6600
"Honduras",860000,670
"Czech Republic",506000,2200
"Sweden",1600000,4700
"Tajikistan",94600,76
"Papua New Guinea",457900,310
"Portugal",984000,4300
"Azerbaijan",932000,670
"Greece",568000,2100
"Hungary",369000,1400
"Togo",338900,250
"Israel",2767000,2300
"Austria",572000,2000
"Belarus",926000,800
"Switzerland",1350000,3900
"Sierra Leone",162300,120
"Laos",165900,140
"Turkmenistan",66810,41
"Hong Kong",3516000,2800
"Libya",547000,420
"Kyrgyzstan",268700,190
"Paraguay",960000,710
"Nicaragua",679100,540
"Bulgaria",248000,1100
"Serbia",1440000,1200
"El Salvador",944000,740
"Republic of the Congo",216800,160
"Denmark",1110000,3100
"Singapore",4600000,3700
"Lebanon",1251000,1000
"Finland",538000,1700
"Liberia",169300,140
"Norway",593000,2400
"Slovakia",182100,730
"Palestine",434800,350
"Central African Republic",39970,34
"Oman",1016000,790
"Ireland",779000,2700
"New Zealand",2940000,2500
"Mauritania",140500,100
"Costa Rica",1791000,1500
"Kuwait",1145000,930
"Panama",1344000,1100
"Croatia",205100,820
"Georgia",701000,540
"Eritrea",11550,11
"Mongolia",310200,260
"Uruguay",1482000,1200
"Puerto Rico",1074000,910
"Bosnia and Herzegovina",436300,350
"Qatar",1548000,1200
"Moldova",412200,320
"Namibia",419600,310
"Armenia",428700,320
"Lithuania",191500,630
"Jamaica",834000,670
"Albania",608500,520
"Gambia",138700,100
"Gabon",244900,190
"Botswana",424200,340
"Lesotho",120100,89
"Guinea-Bissau",,18
"Slovenia",120800,440
"Equatorial Guinea",40360,32
"Latvia",105600,440
"North Macedonia",388500,320
"Bahrain",603000,490
"Trinidad and Tobago",594000,500
"Timor-Leste",,29
"Estonia",95100,310
"Cyprus",108000,410
"Mauritius",501000,390
"Eswatini",121900,89
"Djibouti",,57
"Fiji",250800,200
"Reunion",230600,190
"Comoros",25330,20
"Guyana",153100,110
"Solomon Islands",27100,21
"Bhutan",118300,97
"Macau",162100,140
"Luxembourg",117800,350
"Montenegro",143200,110
"Suriname",121300,96
"Western Sahara",87200,17
"Malta",81900,270
"Maldives",169100,130
"Cape Verde",82500,70
"Brunei",132500,110
"Belize",97400,80
"Bahamas",198000,170
"Iceland",30800,260
"Guadeloupe",137400,120
"Martinique",123800,100
"Vanuatu",21750,18
"Mayotte",27940,22
"French Guiana",51500,44
"New Caledonia",83900,72
"Barbados",153100,130
"French Polynesia",75600,64
"Sao Tome and Principe",12200,9.8
"Samoa",19620,16
"Curacao",,76
"Saint Lucia",63600,52
"Guam",83200,74
"Kiribati",10700,9.7
"Seychelles",53300,38
"Grenada",45200,37
"Micronesia",12450,11
"Aruba",63700,58
"Tonga",15170,13
"Jersey",58600,52
"Saint Vincent and the Grenadines",35300,28
"Antigua and Barbuda",47500,41
"United States Virgin Islands",78000,65
"Isle of Man",45100,39
"Andorra",65400,58
"Cayman Islands",66700,54
"Dominica",25830,22
"Bermuda",59000,54
"Guernsey",,31
"Greenland",25200,22
"Faroe Islands",18400,17
"Saint Kitts and Nevis",22880,19
"American Samoa",56900,38
"Turks and Caicos Islands",23060,20
"Northern Mariana Islands",16670,15
"Sint Maarten",,3.1
"Liechtenstein",6270,21
"British Virgin Islands",23990,20
"Gibraltar",30900,28
"Monaco",51900,48
"Marshall Islands",10860,9.9
"San Marino",14280,13
"Saint Martin",,2.2
"Palau",8000,7.1
"Anguilla",19400,18
"Cook Islands",7840,7
"Nauru",3610,3.5
"Wallis and Futuna",3440,3.5
"Saint Barthelemy",,1.6
"Tuvalu",3300,3.5
"Saint Pierre and Miquelon",3090,3
"Montserrat",3100,3.4
"Falkland Islands",2900,3.2
"Tokelau",1570,1.7
"Niue",,2.7
